Edge,Family,Rotation,Omega,A,B,Nu,NLL,AIC,BIC
T0_E0,Bicopfamily.student,0,0.763352632522583,0.03522617369890213,0.9795803427696228,7.036901473999023,-344.0064127459865,-680.012825491973,-659.6028280688744
T0_E1,Bicopfamily.student,0,0.6839418411254883,0.04574895277619362,0.8671764731407166,10.763663291931152,-264.96851628296804,-521.9370325659361,-501.52703514283746
T0_E2,Bicopfamily.student,0,0.5173037648200989,0.03308366239070892,0.9853312969207764,6.055176734924316,-198.6918775106523,-389.3837550213046,-368.97375759820596
T0_E3,Bicopfamily.student,0,1.0295895338058472,0.046071019023656845,0.9116475582122803,5.830471992492676,-559.5212319660302,-1111.0424639320604,-1090.632466508962
T0_E4,Bicopfamily.student,0,0.7051967978477478,0.031718380749225616,0.9617249965667725,23.297266006469727,-282.30887850130637,-556.6177570026127,-536.2077595795141
T0_E5,Bicopfamily.student,0,0.8352465629577637,0.06041792035102844,0.9601777195930481,6.9524641036987305,-432.2498519439513,-856.4997038879026,-836.089706464804
T0_E6,Bicopfamily.student,0,-0.6206519603729248,0.08086924999952316,0.7853870987892151,5.470232009887695,-248.0868379658514,-488.1736759317028,-467.7636785086042
T0_E7,Bicopfamily.student,0,1.1751058101654053,0.057623691856861115,0.9293392300605774,4.034511566162109,-723.5299502143462,-1439.0599004286923,-1418.6499030055938
T0_E8,Bicopfamily.student,0,0.44631239771842957,0.044097643345594406,0.9795076251029968,8.036355972290039,-144.37466538345782,-280.74933076691565,-260.33933334381703
T0_E9,Bicopfamily.student,0,0.958102285861969,0.0563032403588295,0.9616389274597168,4.664439678192139,-521.9684675599417,-1035.9369351198834,-1015.5269376967848
T0_E10,Bicopfamily.student,0,0.5878228545188904,0.03933382034301758,0.9816344380378723,11.053531646728516,-236.52976397600943,-465.05952795201887,-444.64953052892025
T0_E11,Bicopfamily.student,0,0.6188019514083862,0.034063197672367096,0.9884577393531799,6.254833221435547,-281.9901935736194,-555.9803871472388,-535.5703897241402
T0_E12,Bicopfamily.gumbel,180,-0.3826756179332733,0.21797959506511688,0.976081132888794,,-306.89847207299147,-607.7969441459829,-592.489446078659
T0_E13,Bicopfamily.frank,0,3.680569648742676,0.6057130098342896,0.825949490070343,,-193.0969519361293,-380.1939038722586,-364.88640580493467
T0_E14,Bicopfamily.student,0,0.44576597213745117,0.03950422257184982,0.8636170625686646,15.433714866638184,-120.40399019229046,-232.80798038458093,-212.39798296148234
T0_E15,Bicopfamily.student,0,-0.3948572278022766,0.02121652662754059,0.9511922001838684,24.651504516601562,-94.55640928327333,-181.11281856654665,-160.70282114344806
T0_E16,Bicopfamily.student,0,0.5495749711990356,0.03189011663198471,0.9820061922073364,11.659041404724121,-198.0463885709975,-388.092777141995,-367.68277971889637
T0_E17,Bicopfamily.gumbel,0,-0.5586583614349365,0.0801965743303299,0.9614003896713257,,-177.02828380389008,-348.05656760778015,-332.7490695404562
T0_E18,Bicopfamily.student,0,1.025633454322815,0.04734146595001221,0.9792324900627136,5.763577461242676,-580.9039122339041,-1153.8078244678081,-1133.3978270447096
T0_E19,Bicopfamily.student,0,1.0556097030639648,0.06127193570137024,0.924200177192688,6.661822319030762,-589.4219070800939,-1170.8438141601878,-1150.4338167370893
T0_E20,Bicopfamily.gumbel,270,-0.6187852621078491,0.28753870725631714,0.854908287525177,,-159.4139576287805,-312.827915257561,-297.5204171902371
