Edge,Family,Rotation,Omega,A,B,Nu,NLL,AIC,BIC
T0_E0,Bicopfamily.gumbel,270,-1.3613229990005493,0.057929109781980515,0.9797853827476501,,-64.83685124480857,-123.67370248961714,-108.3662044222932
T0_E1,Bicopfamily.gumbel,0,-0.12154258787631989,0.34401533007621765,0.9277245402336121,,-293.40378924037645,-580.8075784807529,-565.5000804134289
T0_E2,Bicopfamily.student,0,0.6019271016120911,0.023160548880696297,0.9650678634643555,5.917933940887451,-236.97827860331347,-465.95655720662694,-445.5465597835283
T0_E3,Bicopfamily.student,0,-0.278731107711792,0.05050087347626686,0.9232068061828613,6.489960670471191,-69.76506035560121,-131.53012071120241,-111.12012328810383
T0_E4,Bicopfamily.student,0,0.3763399124145508,0.04603826627135277,0.7842780351638794,8.184541702270508,-93.47507517583071,-178.95015035166142,-158.54015292856283
T0_E5,Bicopfamily.student,0,-0.32040125131607056,0.02616681158542633,0.9805160760879517,8.8851900100708,-71.8923928539626,-135.7847857079252,-115.37478828482662
T0_E6,Bicopfamily.frank,0,-2.565054178237915,0.16902898252010345,0.992466151714325,,-146.05613253585196,-286.1122650717039,-270.80476700438
T0_E7,Bicopfamily.student,0,0.4835070073604584,0.02440735325217247,0.9939992427825928,2.3197827339172363,-266.87230769553275,-525.7446153910655,-505.3346179679669
T0_E8,Bicopfamily.student,0,0.40982210636138916,0.021638348698616028,0.9934966564178467,3.963634729385376,-134.78152048009264,-261.5630409601853,-241.1530435370867
T0_E9,Bicopfamily.student,0,1.0229741334915161,0.038550835102796555,0.9901641011238098,4.592985153198242,-616.7095043522982,-1225.4190087045963,-1205.0090112814978
T0_E10,Bicopfamily.student,0,0.6023525595664978,0.03343414142727852,0.9934439659118652,4.94908332824707,-311.153817964833,-614.307635929666,-593.8976385065674
T0_E11,Bicopfamily.student,0,0.6841005086898804,0.027691971510648727,0.9920704960823059,7.719602584838867,-331.69072630789526,-655.3814526157905,-634.9714551926919
T0_E12,Bicopfamily.student,0,-0.6855711340904236,0.08858315646648407,0.708773136138916,5.291449546813965,-283.36901337226845,-558.7380267445369,-538.3280293214383
T0_E13,Bicopfamily.student,0,-0.8958120942115784,0.05049460753798485,0.8908038139343262,4.230055332183838,-468.3439142555851,-928.6878285111702,-908.2778310880716
T0_E14,Bicopfamily.student,0,0.6898953318595886,0.040784768760204315,0.9936843514442444,5.521857738494873,-366.56554426705617,-725.1310885341123,-704.7210911110137
T0_E15,Bicopfamily.student,0,0.660185694694519,0.04219673573970795,0.9740009903907776,5.694913864135742,-282.2975036725533,-556.5950073451066,-536.185009922008
T0_E16,Bicopfamily.student,0,0.4235314428806305,0.04846549779176712,0.9906456470489502,4.635065078735352,-223.45497253766172,-438.90994507532344,-418.4999476522248
T0_E17,Bicopfamily.student,0,-0.7902616262435913,0.026786234229803085,0.9913730621337891,6.922654151916504,-381.20538714930836,-754.4107742986167,-734.0007768755181
T0_E18,Bicopfamily.gumbel,90,0.35840100049972534,0.12695781886577606,0.974396288394928,,-400.9615480088153,-795.9230960176307,-780.6155979503067
T0_E19,Bicopfamily.student,0,0.9977225065231323,0.07812274247407913,0.8603325486183167,6.413103103637695,-523.318102961664,-1038.636205923328,-1018.2262085002293
T0_E20,Bicopfamily.gumbel,90,-0.6936289072036743,0.08710061758756638,0.9828162789344788,,-127.18570423520629,-248.37140847041258,-233.06391040308864
T0_E21,Bicopfamily.student,0,-0.5550773739814758,0.04149600863456726,0.9210978746414185,5.0823774337768555,-191.66808834758814,-375.3361766951763,-354.92617927207766
T0_E22,Bicopfamily.frank,0,-2.7093160152435303,0.17551913857460022,0.9708337187767029,,-116.89557880758399,-227.79115761516798,-212.483659547844
T0_E23,Bicopfamily.clayton,180,0.40800371766090393,0.5454598665237427,0.7122136354446411,,-219.2091620576403,-432.4183241152806,-417.11082604795666
T0_E24,Bicopfamily.student,0,0.762461245059967,0.03404296562075615,0.9815187454223633,7.067755699157715,-343.9910455233566,-679.9820910467132,-659.5720936236146
T0_E25,Bicopfamily.student,0,0.6837805509567261,0.04612385854125023,0.8644446730613708,10.772709846496582,-264.96821846217773,-521.9364369243555,-501.52643950125685
T0_E26,Bicopfamily.student,0,1.0296567678451538,0.04660331830382347,0.9105401635169983,5.831758499145508,-559.5175171153977,-1111.0350342307954,-1090.625036807697
T0_E27,Bicopfamily.student,0,0.7064247131347656,0.03181329369544983,0.9624740481376648,22.232479095458984,-282.26359030123564,-556.5271806024713,-536.1171831793727
T0_E28,Bicopfamily.student,0,1.1753238439559937,0.059177566319704056,0.9294089078903198,4.034267425537109,-723.5508609731595,-1439.101721946319,-1418.6917245232205
T0_E29,Bicopfamily.student,0,0.9586682915687561,0.050457678735256195,0.9701962471008301,4.892054080963135,-521.9100683773815,-1035.820136754763,-1015.4101393316645
T0_E30,Bicopfamily.student,0,1.0254751443862915,0.04676603525876999,0.9794222712516785,5.7825608253479,-580.904029026163,-1153.808058052326,-1133.3980606292275
T0_E31,Bicopfamily.student,0,1.055100440979004,0.06246942654252052,0.9244704842567444,6.586248397827148,-589.4272805375912,-1170.8545610751823,-1150.4445636520838
T0_E32,Bicopfamily.student,0,0.7084852457046509,0.02120610885322094,0.9832260012626648,6.435666084289551,-304.2399557678093,-600.4799115356186,-580.06991411252
T0_E33,Bicopfamily.student,0,1.531716227531433,0.04483005777001381,0.981329083442688,6.031418800354004,-1091.963812816222,-2175.927625632444,-2155.5176282093453
