Date,G_PC_1,G_PC_2,G_PC_3,L_PC_AAPL_1,L_PC_AAPL_2,L_PC_AAPL_3,L_PC_AMZN_1,L_PC_AMZN_2,L_PC_AMZN_3,L_PC_GLD_1,L_PC_GLD_2,L_PC_GLD_3,L_PC_GLD_4,L_PC_GLD_5,L_PC_GOOGL_1,L_PC_GOOGL_2,L_PC_GOOGL_3,L_PC_GOOGL_4,L_PC_IWM_1,L_PC_IWM_2,L_PC_IWM_3,L_PC_JPM_1,L_PC_JPM_2,L_PC_JPM_3,L_PC_MSFT_1,L_PC_MSFT_2,L_PC_MSFT_3,L_PC_NFLX_1,L_PC_NFLX_2,L_PC_NFLX_3,L_PC_NVDA_1,L_PC_NVDA_2,L_PC_NVDA_3,L_PC_QQQ_1,L_PC_QQQ_2,L_PC_QQQ_3,L_PC_SPY_1,L_PC_SPY_2,L_PC_SPY_3,L_PC_TLT_1,L_PC_TLT_2,L_PC_TLT_3,L_PC_TLT_4,L_PC_TSLA_1,L_PC_TSLA_2,L_PC_TSLA_3,L_PC_V_1,L_PC_V_2,L_PC_V_3
2020-03-02,0.00034376196,0.00082602154,0.0018461053,0.99852055,0.15951698,0.2527785,0.0076547572,0.29534483,0.13508521,0.9969013,0.051544596,0.027400078,0.8311947,0.58737725,0.003918397,0.55564487,0.9044223,0.9796434,0.0025383327,0.9064426,0.049220048,0.9980063,0.50917506,0.92924553,0.16500276,0.0641248,0.082076654,0.024986766,0.8540832,0.9329586,0.007662239,0.7583285,0.009091665,0.017294295,4.0390707e-05,0.07103669,0.008731794,0.72370976,0.86371446,0.8582878,0.968946,0.99681145,0.91961515,0.99603033,0.0070393584,0.52828896,0.9821643,0.06185126,0.026621144
2020-03-03,0.1512563,0.10554101,0.04738514,0.90472466,0.7407521,0.5887972,0.18382688,0.7811446,0.26819673,0.99112445,0.04741732,0.8278204,0.061273847,0.9971264,0.02360772,0.027855488,0.6352699,0.22493877,0.02232517,0.93150294,0.49288327,0.90041155,0.6225586,0.38096246,0.64288837,0.3680569,0.3513631,0.07113197,0.6011971,0.46884134,0.031907387,0.009608929,0.84944785,0.00022762842,0.968785,0.7484648,0.95813346,0.91027033,0.56323,0.123314194,0.04488305,0.92834526,0.91275626,0.988885,0.74941903,0.61717564,0.883324,0.9852599,0.9421004
2020-03-04,0.8307209,0.933875,0.7427115,0.24285357,0.22387932,0.30848265,0.85826176,0.12453869,0.74882317,0.034908235,0.8540306,0.41091654,0.90041155,0.037090078,0.81405306,0.8624223,0.2042237,0.9401294,0.8268249,0.11874622,0.10893832,0.12054983,0.4282985,0.37122008,0.7746669,0.69133955,0.7059104,0.81591016,0.89455646,0.22467384,0.6038239,0.9694613,0.72219753,0.88983214,0.45233935,0.31172395,0.7462554,0.050634928,0.03865334,0.5449829,0.7890849,0.17119832,0.16121313,0.49731103,0.851072,0.9585996,0.04609385,0.108674355,0.53362584
2020-03-05,0.96755797,0.7131847,0.5138209,0.25661716,0.2981037,0.6841127,0.65021956,0.2772552,0.5738243,0.80946344,0.05107887,0.021596145,0.12632503,0.96675664,0.68539405,0.5184961,0.3151486,0.30584386,0.509983,0.5428848,0.5644803,0.24542113,0.6720585,0.37411994,0.083348066,0.78833014,0.52362204,0.71046305,0.120524876,0.6265097,0.86633813,0.96719027,0.9875229,0.6684867,0.48061693,0.71949977,0.6671602,0.6266645,0.7830597,0.44717947,0.5090946,0.6667611,0.63152456,0.1407404,0.14518206,0.120038114,0.26466545,0.58584493,0.31736723
2020-03-06,0.99947095,0.92693985,0.056162797,0.024613218,0.78919715,0.48634374,0.61180574,0.08388885,0.7214765,0.001020229,0.014753089,0.9907278,0.85123795,0.30863923,0.97424084,0.078500755,0.4629917,0.17863989,0.988438,0.039824672,0.8490564,0.8028551,0.8313012,0.8240249,0.8800718,0.28788272,0.45484573,0.015187063,0.1673176,0.60829306,0.9820809,0.033934515,0.916577,0.9490389,0.0446429,0.43660557,0.009180884,0.015377941,0.99576813,0.99932563,0.9170757,0.98745143,0.32855394,0.0022491494,0.94626045,0.043686453,0.18099359,0.89331514,0.10167184
2020-03-09,0.99790233,0.017615495,0.10508451,0.0059544356,0.047775373,0.9669411,0.022245655,0.06333049,0.95189273,0.9372488,0.07671886,0.32526854,0.23074847,0.9465484,0.108498335,0.97483975,0.67182344,0.15990224,0.83194506,0.84675497,0.9012903,0.99993813,0.08196447,0.03645687,0.13659187,0.44985703,0.58363056,0.0083444435,0.92420316,0.7789803,0.95240444,0.028833475,0.23472203,0.007057265,0.63562024,0.0110348165,0.8256608,0.98586094,0.016853923,0.97900474,0.18263441,0.99912286,0.9388435,0.013970726,0.7890073,0.7629507,0.9909532,0.13861151,0.9474126
2020-03-10,0.38874516,0.6777874,0.107259646,0.8148819,0.9386353,0.2906499,0.17023578,0.061085045,0.109420255,0.90041155,0.93569976,0.28578043,0.5393733,0.23897645,0.013769211,0.23252134,0.63323224,0.031618502,0.9845406,0.63187,0.00071481627,0.048673257,0.83036864,0.97768784,0.04779458,0.74360245,0.32162708,0.036404755,0.04718344,0.54035974,0.38852057,0.99132055,0.089589484,0.9969912,0.9997835,0.9968221,0.96781206,0.016095076,0.70382214,0.93802047,0.25235558,0.109736234,0.7574243,0.79169756,0.3358252,0.1395033,0.085474886,0.710658,0.32504845
2020-03-11,0.3163843,0.7986482,0.028707152,0.96492004,0.93581325,0.5151224,0.7277613,0.98182726,0.37276006,0.29361305,0.28303573,0.87923795,0.4398909,0.19929485,0.096785,0.0012470341,0.1845427,0.9063495,0.95237297,0.46242204,0.9949929,0.70121026,0.48983964,0.19637322,0.8012948,0.80027246,0.89915216,0.69882387,0.93162835,0.11267374,0.042339597,0.9611847,0.047861446,0.2757598,0.0014707284,0.32960492,0.04929111,0.0085806195,0.8987726,0.12000893,0.6219432,0.31982732,0.085949786,0.91885173,0.6315376,0.8426765,0.22746575,0.9150163,0.62809944
2020-03-12,0.99917156,0.9568101,0.9999334,5.409514e-05,0.6469211,0.014112126,0.9052946,0.0060280133,0.14885837,0.0030207175,0.99938095,0.04866045,0.85513085,0.98627025,0.9995099,0.9471804,0.06268154,0.03209059,0.99675363,0.0018754661,0.9839915,0.023765353,0.31781742,0.21353883,0.075355515,0.6914881,0.587982,0.98340803,0.051195,0.4779041,0.99678415,0.10532831,0.9725727,0.9825457,0.996613,0.00017154422,0.9999762,0.99996734,0.00016977788,0.90971285,0.1130194,0.16000652,0.30498496,0.00012729158,0.9997736,0.004660948,0.00053500856,0.05658674,0.73119307
2020-03-13,0.71730876,0.9442958,0.010162204,0.91492754,0.02020686,0.9874827,0.7409262,0.23252729,0.846549,0.040092852,0.59671444,0.8146442,0.915306,0.10745109,0.7682758,0.98298055,0.7154365,0.058241483,0.9902957,0.90041155,0.004235529,0.023385398,0.18283303,0.3862362,0.02453843,0.64572495,0.48887303,0.15586668,0.023015793,0.89230764,0.99749744,0.9983683,0.9990976,0.9211941,0.004198618,0.9380812,2.150844e-05,4.8860336e-05,0.9956033,0.0011442889,0.20324871,0.93811667,0.60846263,0.987829,0.2966584,0.88905215,0.042629417,0.39624968,0.03679526
